borrower_id,age,occupation,monthly_income,income_consistency_score,utility_delay_days,debt_to_income_ratio,active_loans,upi_transactions,previous_default,loan_status
BORR00001,52,Small Business Owner,51736.08,63,1,0.25,0,90,0,1
BORR00002,56,Kirana Owner,74254.69,82,2,0.094,0,147,0,1
BORR00003,57,Kirana Owner,59275.55,66,1,0.102,0,187,0,1
BORR00004,34,Kirana Owner,62631.84,82,1,0.286,1,187,0,1
BORR00005,47,Driver,22909.49,55,8,0.762,3,42,0,0
BORR00006,39,Kirana Owner,40599.57,69,5,0.96,2,53,1,0
BORR00007,51,Driver,16397.05,63,3,0.35,2,51,0,0
BORR00008,29,Kirana Owner,67577.98,86,0,0.143,1,234,0,1
BORR00009,58,Kirana Owner,58922.59,77,0,0.307,0,143,0,1
BORR00010,37,Kirana Owner,46541.53,78,2,0.208,1,168,0,1
BORR00011,39,Delivery Partner,14547.84,54,10,0.571,3,81,1,0
BORR00012,24,Kirana Owner,44564.58,60,1,0.301,0,138,0,1
BORR00013,31,Delivery Partner,17420.79,89,2,0.154,1,165,0,1
BORR00014,42,Driver,15971.66,74,2,0.291,2,149,0,1
BORR00015,24,Delivery Partner,23361.53,69,1,0.26,0,225,0,1
BORR00016,37,Small Business Owner,34941.45,60,2,0.398,0,135,1,1
BORR00017,28,Small Business Owner,49601.54,79,0,0.284,0,154,0,1
BORR00018,54,Small Business Owner,39217.65,75,1,0.31,0,150,0,1
BORR00019,31,Freelancer,12998.25,71,0,0.289,0,163,0,1
BORR00020,51,Kirana Owner,52114.52,71,0,0.233,0,142,0,1
BORR00021,31,Kirana Owner,38785.3,81,0,0.212,2,162,0,1
BORR00022,58,Driver,17701.31,37,9,0.789,1,99,0,0
BORR00023,41,Driver,16708.93,61,0,0.329,2,90,0,1
BORR00024,50,Driver,21822.0,69,3,0.286,2,183,1,1
BORR00025,30,Kirana Owner,58214.84,87,3,0.262,2,194,1,1
BORR00026,46,Driver,32850.12,70,1,0.269,0,89,0,1
BORR00027,47,Freelancer,59371.99,87,1,0.236,1,227,0,1
BORR00028,28,Delivery Partner,33921.28,78,1,0.075,0,169,0,1
BORR00029,59,Freelancer,17837.68,73,0,0.222,0,217,0,1
BORR00030,28,Delivery Partner,23480.3,65,7,0.731,3,79,0,0
BORR00031,28,Kirana Owner,41631.39,84,1,0.226,1,176,1,1
BORR00032,54,Delivery Partner,34121.18,69,0,0.242,0,154,0,1
BORR00033,36,Driver,15257.99,18,4,0.666,3,100,1,0
BORR00034,33,Driver,28396.26,71,2,0.286,1,201,0,1
BORR00035,43,Driver,25399.75,65,0,0.223,0,191,0,1
BORR00036,32,Driver,26850.64,67,0,0.267,0,227,0,1
BORR00037,47,Kirana Owner,52679.61,67,0,0.099,1,132,0,1
BORR00038,42,Delivery Partner,24796.18,56,7,0.683,2,76,1,1
BORR00039,52,Delivery Partner,35794.89,58,0,0.194,0,220,0,1
BORR00040,47,Freelancer,15299.32,79,1,0.286,0,167,0,1
BORR00041,22,Delivery Partner,19750.7,42,5,0.651,1,72,0,0
BORR00042,53,Freelancer,23236.03,85,0,0.306,0,154,0,1
BORR00043,46,Delivery Partner,13852.72,35,6,0.782,3,63,1,0
BORR00044,48,Kirana Owner,61333.21,81,1,0.354,1,114,0,1
BORR00045,39,Kirana Owner,66404.51,68,2,0.155,1,148,0,1
BORR00046,25,Delivery Partner,32830.72,74,0,0.219,0,97,0,1
BORR00047,53,Freelancer,35879.16,63,0,0.317,0,91,0,1
BORR00048,40,Driver,17703.97,90,0,0.301,0,151,0,1
BORR00049,50,Freelancer,30436.29,91,0,0.152,1,197,0,1
BORR00050,28,Small Business Owner,51374.17,82,3,0.198,0,216,0,1
BORR00051,58,Driver,19015.72,66,0,0.286,2,221,0,1
BORR00052,37,Driver,17449.6,84,1,0.308,2,144,0,1
BORR00053,21,Driver,27345.03,73,0,0.335,0,118,0,1
BORR00054,23,Driver,28550.91,61,0,0.222,1,207,0,1
BORR00055,46,Delivery Partner,28540.52,74,1,0.235,0,219,0,0
BORR00056,51,Delivery Partner,25989.35,88,4,0.17,2,124,0,0
BORR00057,28,Driver,28555.96,31,9,0.858,3,82,1,0
BORR00058,28,Kirana Owner,58530.58,79,0,0.225,2,184,0,1
BORR00059,55,Delivery Partner,17075.1,39,5,0.639,4,95,0,0
BORR00060,59,Freelancer,33918.96,75,1,0.192,1,168,0,1
BORR00061,48,Driver,22394.78,75,1,0.198,1,194,0,1
BORR00062,24,Driver,23762.75,68,1,0.37,2,197,0,1
BORR00063,36,Kirana Owner,67097.76,80,0,0.364,1,174,0,1
BORR00064,33,Small Business Owner,59352.21,75,0,0.305,0,199,0,1
BORR00065,40,Delivery Partner,19349.75,83,2,0.077,1,189,0,1
BORR00066,25,Freelancer,15820.85,73,2,0.17,1,201,0,1
BORR00067,57,Freelancer,19312.88,27,7,0.696,2,80,1,0
BORR00068,40,Freelancer,16807.41,70,0,0.199,0,233,0,1
BORR00069,44,Kirana Owner,61109.29,61,3,0.702,2,127,0,0
BORR00070,56,Delivery Partner,24525.05,89,1,0.158,0,209,0,1
BORR00071,54,Freelancer,24346.67,73,2,0.238,1,127,0,0
BORR00072,54,Small Business Owner,60992.15,69,1,0.31,1,139,0,0
BORR00073,39,Freelancer,36543.49,39,3,0.619,2,92,0,0
BORR00074,37,Driver,22167.23,78,2,0.209,1,228,1,1
BORR00075,25,Delivery Partner,29571.57,65,1,0.156,0,160,0,1
BORR00076,45,Kirana Owner,58163.99,76,4,0.284,0,150,1,1
BORR00077,38,Small Business Owner,37198.43,61,0,0.266,0,161,0,1
BORR00078,28,Small Business Owner,26081.53,56,5,0.774,2,128,1,0
BORR00079,47,Kirana Owner,61037.62,91,0,0.248,1,169,1,1
BORR00080,35,Kirana Owner,30168.4,44,10,0.551,3,54,0,1
BORR00081,33,Driver,21083.05,71,2,0.228,1,197,0,1
BORR00082,36,Small Business Owner,69844.15,80,0,0.219,1,187,0,1
BORR00083,42,Kirana Owner,61359.12,67,0,0.244,0,185,0,1
BORR00084,40,Kirana Owner,36873.41,42,6,0.94,1,102,1,0
BORR00085,33,Kirana Owner,65383.89,88,1,0.257,0,197,0,1
BORR00086,40,Kirana Owner,43463.5,69,1,0.242,1,163,0,1
BORR00087,22,Freelancer,40319.73,75,1,0.152,1,184,0,1
BORR00088,55,Small Business Owner,51983.39,71,0,0.255,1,124,0,1
BORR00089,39,Small Business Owner,49420.18,73,0,0.097,2,97,0,1
BORR00090,57,Small Business Owner,31012.34,79,1,0.256,0,182,0,1
BORR00091,26,Delivery Partner,21474.03,40,7,0.785,2,76,0,0
BORR00092,34,Small Business Owner,45751.98,72,0,0.19,0,120,0,1
BORR00093,24,Freelancer,26701.13,77,1,0.295,0,167,0,1
BORR00094,42,Small Business Owner,74190.86,87,0,0.287,0,202,0,1
BORR00095,59,Delivery Partner,25344.07,77,1,0.327,0,177,0,1
BORR00096,56,Small Business Owner,58366.08,78,3,0.229,0,182,0,1
BORR00097,54,Freelancer,24482.0,71,1,0.288,1,164,0,1
BORR00098,47,Kirana Owner,36337.67,83,1,0.202,1,140,0,1
